,Country,Youtuber,subscribers
0,Argentina,4,33550000.0
1,Australia,1,27800000.0
2,Barbados,1,41900000.0
3,Brazil,15,20240000.0
4,Canada,3,44733333.333333336
5,Colombia,7,23057142.85714286
6,France,2,17650000.0
7,India,38,35213157.89473684
8,Iraq,1,17400000.0
9,Jordan,3,22333333.333333332
10,Mexico,2,18250000.0
11,Morocco,1,14500000.0
12,Netherlands,1,30100000.0
13,Philippines,1,14200000.0
14,Samoa,1,13100000.0
15,Saudi Arabia,2,20800000.0
16,South Korea,7,44985714.28571428
17,Spain,4,15400000.0
18,Sweden,1,20600000.0
19,Thailand,4,18875000.0
20,Turkey,1,24100000.0
21,United Kingdom,15,22453333.333333332
22,United States,81,23611111.111111112
