,rank,Youtuber,subscribers,video views,category,Title,uploads,Country,Abbreviation,channel_type,video_views_rank,country_rank,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,created_year,created_month,created_date,Gross tertiary education enrollment (%),Population,Unemployment rate,Urban_population,Latitude,Longitude
0,1,01_T-Series,245000000,228000000000.0,Music,T-Series,20082,India,IN,Music,1.0,1.0,1.0,2258000000.0,564600.0,9000000.0,6800000.0,108400000.0,2000000.0,2006.0,Mar,13.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
5,6,02_Music,119000000,0.0,,Music,0,,,Music,4057944.0,,,,0.0,0.0,0.0,0.0,,2013.0,Sep,24.0,,,,,,
10,11,03_Zee Music Company,96700000,57856289381.0,Music,Zee Music Company,8548,India,IN,Music,12.0,3.0,2.0,803613000.0,200900.0,3200000.0,2400000.0,38600000.0,1100000.0,2014.0,Mar,12.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
13,14,04_BLACKPINK,89800000,32144597566.0,People & Blogs,BLACKPINK,543,South Korea,KR,Music,32.0,1.0,3.0,498930000.0,124700.0,2000000.0,1500000.0,23900000.0,700000.0,2016.0,Jun,29.0,94.3,51709098.0,4.15,42106719.0,35.907757,127.766922
14,15,05_Goldmines,86900000,24118230580.0,Film & Animation,goldmines,1,,,Music,4056562.0,,5663.0,18.0,0.0,0.07,0.05,0.86,,2006.0,Aug,15.0,,,,,,
17,18,06_BANGTANTV,75600000,20826993957.0,Music,BANGTANTV,2281,South Korea,KR,Music,112.0,2.0,4.0,168290000.0,42100.0,673200.0,504900.0,8100000.0,400000.0,2012.0,Dec,17.0,94.3,51709098.0,4.15,42106719.0,35.907757,127.766922
19,20,07_Justin Bieber,71600000,30608119724.0,Music,Justin Bieber,249,Canada,CA,Music,38.0,1.0,6.0,176326000.0,44100.0,705300.0,529000.0,8500000.0,100000.0,2007.0,Jan,15.0,68.9,36991981.0,5.56,30628482.0,56.130366,-106.346771
20,21,08_HYBE LABELS,71300000,28634566938.0,Music,HYBE LABELS,1337,South Korea,KR,Music,46.0,3.0,5.0,598173000.0,149500.0,2400000.0,1800000.0,28700000.0,900000.0,2008.0,Jun,4.0,94.3,51709098.0,4.15,42106719.0,35.907757,127.766922
23,24,09_Canal KondZilla,66500000,36775585925.0,Music,Canal KondZilla,2572,Brazil,BR,Music,25.0,1.0,7.0,447223000.0,0.0,0.0,0.0,0.0,,2012.0,Mar,21.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
25,26,10_Shemaroo Filmi Gaane,65600000,28648024439.0,Music,Shemaroo Filmi Gaane,8502,India,IN,Music,47.0,8.0,8.0,254961000.0,63700.0,1000000.0,764900.0,12200000.0,400000.0,2010.0,Jun,11.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
